url,address,neighborhood,rent,beds,baths,flexible_rooms,zip
https://www.renthop.com/listings/10-montieth-street/341/59518457,"10 Montieth Street, Apt 341","Bushwick, Northern Brooklyn, Brooklyn",1908,0,1.0,0,11206
https://www.renthop.com/listings/225-east-10th-street/5bb/59274815,"225 East 10th Street, Apt 5BB","East Village, Downtown Manhattan, Manhattan",1800,0,1.0,0,10003
https://www.renthop.com/listings/225-east-10th-street/3ee/59279450,"225 East 10th Street, Apt 3EE","East Village, Downtown Manhattan, Manhattan",1800,0,1.0,0,10003
https://www.renthop.com/listings/25-hillside-avenue-2b/2b/59215713,"25 Hillside Avenue, Apt 2B","Fort George, Washington Heights, Upper Manhattan, Manhattan",1776,1,1.0,0,10040
https://www.renthop.com/listings/525-west-52nd-street/2nn/59054932,"525 West 52nd Street, Apt 2NN","Hell's Kitchen, Midtown Manhattan, Manhattan",5600,2,2.0,0,10019
https://www.renthop.com/listings/100-west-31st-street/24e/59333154,"100 West 31st Street, Apt 24E","Chelsea, Midtown Manhattan, Manhattan",2815,0,1.0,0,10001
https://www.renthop.com/listings/605-west-42nd-street/44e/15389356,"605 West 42nd Street, Apt 44E","Hell's Kitchen, Midtown Manhattan, Manhattan",2880,1,1.0,0,10036
https://www.renthop.com/listings/949-willoughby-ave/111/15216668,"949 Willoughby Avenue, Apt 111...","Bushwick, Northern Brooklyn, Brooklyn",2000,0,1.0,1,11221
https://www.renthop.com/listings/140-west-79th-street/11e/59374484,"140 West 79th Street, Apt 11E","Upper West Side, Upper Manhattan, Manhattan",3200,2,1.0,0,10024
https://www.renthop.com/listings/137-east-30th-street/1/59471530,"137 East 30th Street, Apt 1","Rose Hill, Kips Bay, Midtown Manhattan, Manhattan",1600,0,1.0,0,10016
https://www.renthop.com/listings/70-west-37th-street/612/59054619,"70 West 37th Street, Apt 612","Murray Hill, Midtown Manhattan, Manhattan",2396,0,1.0,0,10018
https://www.renthop.com/listings/first-ave/4a/5131377,First ave ,"East Village, Downtown Manhattan, Manhattan",3600,3,1.0,0,
